type,index,groupIndex,burstLength,interval,delayType,startDelay,endDelay,creationTime,creationTicks,endTime,endTicks,creationDate,executionDate
5,248,248,1,0,0,0,0,2802707,0,2803410,0,2018-10-04T12:19:19.490Z,2018-10-04T12:19:19.491Z
5,249,249,1,0,0,0,0,2805598,0,2805923,0,2018-10-04T12:19:22.381Z,2018-10-04T12:19:22.382Z
5,250,250,1,0,0,0,0,2806679,0,2806891,0,2018-10-04T12:19:23.462Z,2018-10-04T12:19:23.462Z
5,251,251,1,0,0,0,0,2807245,0,2807394,0,2018-10-04T12:19:24.028Z,2018-10-04T12:19:24.028Z
5,252,252,1,0,0,0,0,2807686,0,2807851,0,2018-10-04T12:19:24.470Z,2018-10-04T12:19:24.470Z
5,253,253,1,0,0,0,0,2808120,0,2808292,0,2018-10-04T12:19:24.903Z,2018-10-04T12:19:24.903Z
5,254,254,1,0,0,0,0,2808521,0,2808675,0,2018-10-04T12:19:25.304Z,2018-10-04T12:19:25.304Z
5,255,255,1,0,0,0,0,2808922,0,2809109,0,2018-10-04T12:19:25.705Z,2018-10-04T12:19:25.705Z
5,256,256,1,0,0,0,0,2809348,0,2809532,0,2018-10-04T12:19:26.131Z,2018-10-04T12:19:26.131Z
5,257,257,1,0,0,0,0,2809776,0,2809981,0,2018-10-04T12:19:26.560Z,2018-10-04T12:19:26.560Z
5,258,258,1,0,0,0,0,2810190,0,2810391,0,2018-10-04T12:19:26.973Z,2018-10-04T12:19:26.973Z
5,259,259,1,0,0,0,0,4547889,0,4548395,0,2018-10-04T12:48:24.672Z,2018-10-04T12:48:24.672Z
